Country,Score
Brazil,1
Japan,1
Thailand,0.376623376623377
Turkey,0.272727272727273
Indonesia,0.236363636363636
France,0.206611570247934
Paraguay,0.206611570247934
Chile,0.160839160839161
Dominician Republic,0.160839160839161
Vietnam,0.160839160839161
Taiwan,0.160839160839161
Italy,0.160839160839161
Spain,0.160839160839161
Peru,0.160839160839161
Argentina,0.142857142857143
Bolivia,0.142857142857143
Colombia,0.142857142857143
Guatemala,0.142857142857143
Uruguay,0.142857142857143
Poland,0.142857142857143
Costa Rica,0.127272727272727
Ecuador,0.127272727272727
Honduras,0.127272727272727
Sweden,0.101604278074866
Germany,0.0909090909090909
Israel,0.0909090909090909
Mexico,0.0909090909090909
Finland,0.0727272727272727
Austria,0.0649350649350649
Portugal,0.0578512396694215
Malta,0.0578512396694215
Netherlands,0.0513833992094862
Denmark,0.0454545454545455
Czech Republic,0.04
Greece,0.04
United Kingdom,0.04
Hong Kong,0.034965034965035
Malaysia,0.034965034965035
Norway,0.034965034965035
Belgium,0.0219435736677116
Bulgaria,0.0181818181818182
Singapore,0.0181818181818182
Hungary,0.0146627565982405
Ireland,0.0146627565982405
Switzerland,0.0146627565982405
Australia,0.0113636363636364
Iceland,0.0113636363636364
New Zeland,0.0053475935828877
United States,0.0053475935828877
Canada,0
